"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"613",14,"Matt Bushman",LV,"TE116","8","4 out of 5 stars","-"
"614",14,"Nick Bowers",LV,"TE117","8","4 out of 5 stars","-"
"615",14,"Alex Ellis",LV,"TE118","8","4 out of 5 stars","-"
"616",14,"Daurice Fountain",KC,"WR222","12","3 out of 5 stars","-"
"617",14,"Daniel Brown",NYJ,"TE119","6","3 out of 5 stars","-"
"618",14,"Geronimo Allison",DET,"WR223","9","1 out of 5 stars","-"
"619",14,"Devin Smith",NE,"WR224","14","4 out of 5 stars","-244"
"620",14,"Maurice Ffrench",KC,"WR225","12","3 out of 5 stars","-"
"621",14,"Pooka Williams Jr.",CIN,"RB156","10","3 out of 5 stars","-370"
"622",14,"Isaiah Wright",WAS,"WR226","9","3 out of 5 stars","-"
"623",14,"Dontrell Hilliard",HOU,"RB157","10","4 out of 5 stars","-"
"624",14,"Dalton Schoen",KC,"WR227","12","3 out of 5 stars","-"
"625",14,"Isaiah Zuber",NE,"WR228","14","4 out of 5 stars","-"
"626",14,"Austin Fort",DEN,"TE120","11","4 out of 5 stars","-"
"627",14,"Ben Ellefson",JAC,"TE121","7","4 out of 5 stars","-"
"628",14,"Noah Brown",DAL,"WR229","7","1 out of 5 stars","-"
"629",14,"Chris Moore",HOU,"WR230","10","3 out of 5 stars","-"
"630",14,"Travis Benjamin",SF,"WR231","6","5 out of 5 stars","-"
"631",14,"Kevin White",NO,"WR232","6","4 out of 5 stars","-"
"632",14,"Antonio Nunn",ATL,"WR233","6","4 out of 5 stars","-"
"633",14,"Dax Milne",WAS,"WR234","9","3 out of 5 stars","-"
"634",14,"Chris Rowland",ATL,"WR235","6","4 out of 5 stars","-"
"635",14,"Alize Mack",DET,"TE122","9","4 out of 5 stars","-"
"636",14,"John Hurst",LAC,"WR236","7","3 out of 5 stars","-"
"637",14,"Austin Trammell",ATL,"WR237","6","4 out of 5 stars","-"
"638",14,"T.J. Yeldon",FA,"RB158","-","-","-"
"639",14,"Austin Proehl",LAC,"WR238","7","3 out of 5 stars","-"
"640",14,"Juwan Green",ATL,"WR239","6","4 out of 5 stars","-"
"641",14,"J.J. Koski",LAR,"WR240","11","5 out of 5 stars","-"
"642",14,"Kyle Trask",TB,"QB50","9","2 out of 5 stars","-"
"643",14,"Brock Wright",DET,"TE123","9","4 out of 5 stars","-"
"644",14,"Whop Philyor",MIN,"WR241","7","3 out of 5 stars","-"
"645",14,"Tony Poljan",BAL,"TE124","8","4 out of 5 stars","-"
"646",14,"Dan Chisena",MIN,"WR242","7","3 out of 5 stars","-"
"647",14,"Rico Dowdle",DAL,"RB159","7","2 out of 5 stars","-"
"648",14,"Myron Mitchell",MIN,"WR243","7","3 out of 5 stars","-"
"649",14,"Jeremiah Haydel",LAR,"WR244","11","5 out of 5 stars","-"
"650",14,"Patrick Laird",MIA,"RB160","14","4 out of 5 stars","-"
"651",14,"Easop Winston Jr.",NO,"WR245","6","4 out of 5 stars","-269"
"652",14,"Trent Taylor",CIN,"WR246","10","2 out of 5 stars","-"
"653",14,"Taywan Taylor",HOU,"WR247","10","3 out of 5 stars","-"
"654",14,"Marcus Johnson",TEN,"WR248","13","3 out of 5 stars","-"
"655",14,"Mitchell Wilcox",CIN,"TE125","10","2 out of 5 stars","-"
"656",14,"Thaddeus Moss",CIN,"TE126","10","2 out of 5 stars","-"
"657",14,"Stephen Sullivan",CAR,"TE127","13","4 out of 5 stars","-"
"658",14,"Lamar Miller",WAS,"RB161","9","3 out of 5 stars","-"
"659",14,"Rodney Smith",CAR,"RB162","13","2 out of 5 stars","-"
"660",14,"Trenton Irwin",CIN,"WR249","10","2 out of 5 stars","-"
"661",14,"Chad Henne",KC,"QB51","12","4 out of 5 stars","-"
"662",14,"Ethan Wolf",NO,"TE128","6","4 out of 5 stars","-"
"663",14,"Blake Proehl",MIN,"WR250","7","3 out of 5 stars","-"
"664",14,"Shane Zylstra",MIN,"TE129","7","2 out of 5 stars","-"
"665",14,"Jacques Patrick",CIN,"RB163","10","3 out of 5 stars","-"
"666",14,"Jason Moore",LAC,"WR251","7","3 out of 5 stars","-"
"667",14,"Reggie Bonnafon",CAR,"RB164","13","2 out of 5 stars","-"
"668",14,"Lawrence Cager",NYJ,"WR252","6","4 out of 5 stars","-"
"669",14,"Deon Cain",BAL,"WR253","8","2 out of 5 stars","-"
"670",14,"Chad Williams",KC,"WR254","12","3 out of 5 stars","-"
"671",14,"J.P. Holtz",CHI,"TE130","10","1 out of 5 stars","-"
"672",14,"Jordan Franks",CLE,"TE131","13","2 out of 5 stars","-"
"673",14,"Kendall Hinton",DEN,"WR255","11","4 out of 5 stars","-"
"674",14,"Tyrone Swoopes",WAS,"TE132","9","3 out of 5 stars","-"
"675",14,"Johnny Stanton",CLE,"RB165","13","4 out of 5 stars","-"
"676",14,"Jacoby Brissett",MIA,"QB52","14","4 out of 5 stars","-"
"677",14,"Mason Schreck",CIN,"TE133","10","2 out of 5 stars","-"
"678",14,"Tyler Mabry",SEA,"TE134","9","1 out of 5 stars","-"
"679",14,"Temarrick Hemingway",WAS,"TE135","9","3 out of 5 stars","-"
"680",14,"Kevin Rader",PIT,"TE136","7","5 out of 5 stars","-"
"681",14,"Mike Glennon",NYG,"QB53","10","4 out of 5 stars","-"
"682",14,"Fred Brown",TEN,"WR256","13","3 out of 5 stars","-"
"683",14,"DeAndre Carter",WAS,"WR257","9","3 out of 5 stars","-"
"684",14,"Tony Brooks-James",PIT,"RB166","7","5 out of 5 stars","-"
"685",14,"Colin Thompson",CAR,"TE137","13","4 out of 5 stars","-"
"686",14,"Mekhi Sargent",TEN,"RB167","13","3 out of 5 stars","-"
"687",14,"Malik Turner",DAL,"WR258","7","1 out of 5 stars","-"
"688",14,"Giovanni Ricci",CAR,"TE138","13","4 out of 5 stars","-"
"689",14,"T.J. Vasher",DAL,"WR259","7","1 out of 5 stars","-"
"690",15,"Derek Watt",PIT,"RB168","7","5 out of 5 stars","-"
"691",15,"J.J. Nelson",IND,"WR260","14","5 out of 5 stars","-"
"692",15,"Brandon Smith",DAL,"WR261","7","1 out of 5 stars","-"
"693",15,"Mason Rudolph",PIT,"QB54","7","4 out of 5 stars","-"
"694",15,"Marcell Ateman",LV,"WR262","8","1 out of 5 stars","-"
"695",15,"Chase Daniel",LAC,"QB55","7","2 out of 5 stars","-"
"696",15,"Aaron Parker",DAL,"WR263","7","1 out of 5 stars","-"
"697",15,"Osirus Mitchell",DAL,"WR264","7","1 out of 5 stars","-"
"698",15,"Johnnie Dixon",DAL,"WR265","7","1 out of 5 stars","-"
"699",15,"Stephen Guidry",DAL,"WR266","7","1 out of 5 stars","-"
"700",15,"Tanner Hudson",TB,"TE139","9","3 out of 5 stars","-"
"701",15,"Jarrett Stidham",NE,"QB56","14","5 out of 5 stars","-"
"702",15,"Jalen Camp",JAC,"WR267","7","5 out of 5 stars","-"
"703",15,"Jaylon Moore",BAL,"WR268","8","2 out of 5 stars","-"
"704",15,"Devin Gray",BAL,"WR269","8","2 out of 5 stars","-"
"705",15,"Tyler Simmons",PIT,"WR270","7","2 out of 5 stars","-"
"706",15,"Rico Bussey",PIT,"WR271","7","2 out of 5 stars","-"
"707",15,"Cody White",PIT,"WR272","7","2 out of 5 stars","-"
"708",15,"Jerell Adams",TB,"TE140","9","3 out of 5 stars","-"
"709",15,"Jhamon Ausbon",PHI,"WR273","14","3 out of 5 stars","-"
"710",15,"Dante Pettis",NYG,"WR274","10","3 out of 5 stars","-"
"711",15,"Brandon Allen",CIN,"QB57","10","2 out of 5 stars","-"
"712",15,"Tyrie Cleveland",DEN,"WR275","11","4 out of 5 stars","-"
"713",15,"Dwayne Haskins",PIT,"QB58","7","4 out of 5 stars","-"
"714",15,"Malcolm Perry",MIA,"WR276","14","3 out of 5 stars","-"
"715",15,"Anthony Johnson",PIT,"WR277","7","2 out of 5 stars","-"
"716",15,"Jaydon Mickens",TB,"WR278","9","2 out of 5 stars","-"
"717",15,"Jack Stoll",PHI,"TE141","14","3 out of 5 stars","-"
"718",15,"Josh Malone",NYJ,"WR279","6","4 out of 5 stars","-"
"719",15,"Nate Becker",BUF,"TE142","7","2 out of 5 stars","-"
